,review,rating
0,Nejlepší hodinky pro běžné užívání,100
1,Vetsi display nez predchozi model,100
2,"Pěkné hodinky
",100
3,"nemajú chybu, spĺňajú všetko čo som od nich očakával",100
4,hodinky splnili očekávání.,100
5,Jsem spokojna,100
6,"zatím je mám krátce, ale fungují skvěle",80
7,Jsou skvělý,100
8,"Doporučuji, iOS",100
9,Velký displej. Hned spojeno s mobilem.,100
10,"Hodinky používám denně, zatím naprostá spokojenost. Ovládání je rychlé, propojení s iPhonem funguje skvěle. Design je elegantní a působí velmi prémiově. Výdrž baterie je možná trochu kratší, ale je možné, že se to ještě upraví podle používání.",100
11,"Přecházel jsem z APPLE Watch SE 44mm 1.generace. Takže pro mě to byl hodně velký skok. Vše na co jsem zvyklý a největší rozdíl je pro mě v displeji a ten v kombinaci s tenkým tělem hodinek vypadá hodně dobře. Navíc má krásný jas na přímém slunci a pozorovací úhly jsou taktéž velice dobré. Výdrž baterie je více jak jeden den, ale neřeším to, protože než se oholím a dám sprchu, tak jsou hodinky, vzhledem k rychlému nabíjení, zcela nabité. Varianta Jet black byla k mému černě titanovému iPhonu jasná volba, ale s tím přichází i fakt, že člověk musí holt dávat větší pozor, protože každý škrábanec zde půjde hodně vidět.",100
12,Podle očekávání OK,100
13,"Bez esim, bývali bychom koupili jiné, kdyby na to prodejce upozornil.",80
14,"Na mensi predlokti doporucuji 42mm…i na malem predlokti vypadaji skvele a zaroven je display dostatecne velky na vse, co potrebujete",100
15,"Hodinky jsou super ale kdybych věděl, že je nelze nechat opravit tak abych neztratil záruku a zároveň měl jistotu, že zůstanou vodotěsné tak do toho nejdu. Oprava stojí cca 9500,-",100
16,"Supr, měl jsem šestky, ale tyto jsou o 100% lepší",100
17,"Ačkoliv výdrž baterie je o něco lepší než u Series 6, od desáté generace bych očekávala větší skok kupředu – stále je nutné nabíjet každý den. Také mě mrzí omezené možnosti výběru řemínků při nákupu mimo oficiální Apple Store, což ztěžuje personalizaci podle vlastního vkusu.",100
18,Koupeno rozbalené..,40
19,Super,100
20,požívám zatím chvíli ale jsem spokojený,100
21,"Přecházela jsem ze stařičkých trojek a nelituji. Hodinky splňují vše, co se od nich očekává. I baterie si o dost polepšila, s rychlonabíjením je nošení mnohem příjemnější.",100
22,"S hodinkami jsem nadšená. Naprosto splnily ,co jsem očekávala. Jen mladý muž při předávání mě ,,nepřesvědčil “o prodloužení záruky a nakonec mi řekl, že nepůjdou opravit a za dva roky je stejně vyhodím do koše. Výrobce by asi nesouhlasil.",100
23,"Váhal jsem mezi Garmin nebo Apple. Rozhodla lepší kompatibilita s Apple produkty, modernizace oproti 7, a cena.",100
24,Dobre recenze. Funguji dobre.,100
25,"Přecházel jsem po 4 letech ze SE první generace. Velký technologický skok, ale funkce hodinek jsou synchronizovány včetně ciferníků, takže o nic nepříjdete. Vždycky jsem se koukal spíš po Ultra, ale za tu cenu tam nevidím přidanou hodnotu. Měl jsem dokonce SE s cellular a tuto funkcionalitu zpětně pokládám za zbytečnou, úplně postačí GPS verze.",100
26,jinak běží skvěle,100
27,Nejlepší volba pro I-Phone,100
28,"Hodinky jsou skvělé, mám je necelý půlrok a jsem velmi spokojená se vším, co nabízejí. Fungují dobře, hezky pracují s Iphonem, jsem spokojená.

Jistou nevýhodou je vyšší pořizovací cena, ale to tak prostě u Apple je. Počítám s tím a nelituju.",100
29,"po předešlých zkušenostech s hlinikovými hodinkami 3, SE a 7, jsem se rozhodla plácnout přes kapsu a vzít titanové se safírovým sklem, protože ty základní se okamžitě odrbou a vypadají otřesně. Opravdu doufám že to nebyly vyhozené peníze. Safír mám na jinch hodinkách a je opravdu nemožné ho poškrábat. A přírodní titan lze zase rozleštit oděrky (pozor nefunguje u zlaté a břidlicové) vypadají opravdu skvostně",100
30,"Hodinky mám krátce, v porovnani s Garmin 7S baterie uplně nulová a sklo to samé. Na druhou stranu mají hodinky krásný displej, jednoduché ovládání a vzhledem k tomu, že vlastním mobilní telefon i sluchátka od Apple, vše společně krásně funguje. Doufám, že přechodu od Garmin nebudu litovat.",80
31,"Pěkné barevné provedení hodinek s mnoha funkcema a  cenou ne zrovna malou, ale u tohoto výrobce není nic levné. Spárování s mobilem je rychlé a bezproblémové.Pro malou ruku je na zvážení velikost displeje(42-46mm záleží na prioritách).",100
32,Větší displej,100
33,"Kvalitní provedení, rychlost.",100
34,"Koupeno jako doplnek k uktra watch pro bezne noseni, spokojenost, jen je nutne si zvyknout na “mene” funkci",100
35,Funkčně pecka odolnostně tragédie.... Nerozumím kde se poškrábalo sklo ...,40
36,jinak musím říct že hodinky dělají vše co mají hlídají za vás ritmus cvičení i všechno co jste si navolili,100
37,Nic,100
38,Přechod z AW6.,100
39,"Musím dát 5 hvězd byť mám pár výhrad, které jsou podle mě zanedbatelné, ale je důležité je zmínit pro ty co si rozmýšlejí koupi. Reálně se podle mě na hodinkách toho nedá dělat tolik, ale stále je nutné je brát jako prodlouženou ruku iPhonu (notifikace, čas, apple pay, minutka atd..) a jako fitness náramek v jednom.
Mě to reálně motivuje se více hýbat díky záznamu cvičení a gps trackingu a to je pro mě to nejdůležitější.
Další benefit je ten, že konečně s nimi mohu klidně spát, což mi nebylo vůbec příjemné s mými starými ''pětkami''.",100
40,"Prostě Apple, není co dodat, už několikáté hodinky a naprostá spokojenost !!!",100
41,"Máme je krátce a poprvé, takže na celkové hodnocení je brzy. Ale zatím spokojenost",100
42,"Přešel jsem s hodinek s 44mm. Baterie vydrží celý den s rezervou (nabití na 100% před spaním a celodenní používání s vypnutým always-on displayem včetně cvičení s GPS, zůstává rezerva přes 40%)",100
43,"Měl jsem apple watch 6 a byly super, ale po koupi watch 10 je to něco jiného. Velký displek a na něm vše čtu bez brýlí. Zapomněl jsem zmínit že špatně vidím.",100
44,"Celkově velmi pozitivní hodnocení z mé strany, osobně jsem přešel ze Series 3, tudíž je téměř naprosto všechno mnohonásobně lepší, vyladěnější a rychlejší. Podpora od Applu bude dlouhá, cenovka by mohla být možná trochu nižší, nicméně když se to rozpočítá do následujícíh pár let, je to vlastně v pohodě. Klasické hodinky jsou kolikrát mnohonásobně dražší a ukazují pouze čas, s tímto zařízením můžete dělat spoustu věcí a sladíte to i k společenštějším aktivitám (divadlo, etc.) skrze obrovský výběr ciferníků a řemínků. Mohu vřele doporučit všem uživatelům iPhonů / Apple zařízení. PS: na obrázku je porovnání Series 3 42mm VS Series 10 42mm😁",100
45,"Upgrade ze series 9 ci 8 se asi nevyplati pokud nejste potapec či plavec... Já prechazel z SE a je to fakt uzasny rozdil :) hodinky vás mile prekvapi a urcite bych nad nima nevahal kdybych se rozhodoval mezi series 9 a 10 , urcite si vyberu s10. Za ""pouze"" 12 tisíc vám dají asi to co od nich čekate. Paradni je i vylepsena aplikace EKG, okysliceni krve atd.",80
46,Výdrž batérie sa uvádza 18hodin pri bežnom používani pri šetriacom režime je 36hodin. Mne pri bežnom používani vydržia 40hodin bez zapnutia šetriacej funkcie,100
47,Kompatibilne Esim pre tieto hodinky na Slovensku ponuka 2 operatory vylucne pre pausalne baliky. V prípade ak je vybity Iphone na hodikach neviete prijat hovory. LTE funguje ako zrkadlo pre SIM ktora aktivna na Iphone. Nevidim zmysel tejto funkcionality.,60
48,"Hodinky sú samo o sebe super je to vlastne skôr doplnok . EKG , kontrola spánku , tlak atd. super funkcie ktoré fungujú ale stále sú to len hodinky ktoré su neuveriteľne predražené a podla môjho názoru sa neoplatí za ne dávať okolo 500€ . Pokiaľ človek chce rovnaké funkcie je lepšia 9 ktorá stojí v rozbalenom stave o 200€ menej.",80
49,"Hodinky sa poskriabali hned v prvy den a to beznym uzivanim. Nechcem si predstavit, ako by dopadli pri sportovej aktivite. Na to v akej cenovej kategorii sa pohybujeme, a aky hype je okolo samotneho produktu, je smutne, ze vyrobca pouziva tak nekvalitne sklicko. O baterii sa nebudem ani vyjadrovat. Hodinky za desatinu obstaravacej ceny vydrzia 7-10x dlhsie. Jedina vyhoda je operacny system watchOS a integracia do apple ekosystemu.",40
50,Dodanie bolo predlzene o mesiac neskor aj ste slubili kompenzaciu a zase nic . Takze aspon by ste nemali nic slubovat inac pani v telefone velmi ochotna a slusna :),60
51,"to ze maju hodinky slabu vydrz na bateriu som vedel uz pred kupou a prekusol som to. myslel som ze to bude jedina vec, ktoru bude treba ""prezit"". mylil som sa. pocas sportovania bez mobilu nemam k dispozicii mapu, workout profil je takmer needitovatelny. Platim si za youtube music, bohuzial offline na apple watch toto nepojde. nebudem platit este aj apple music ked youtube vyuzivam ovela castejsie. Audioknihy sa na slovensku cez apple books neda kupit, cize sa oficialne neda pocivat knihy offline. iba cez apliakcie tretich stran a skoro vsetky su spoplatnene mesacne alebo na to treba ist strasne zlozito. Apple podporuje hlavne svoje produkty, lenze na slovensku nie je vsetko k dispozicii. vo forach to riesi dost ludi, na vsetko co nie je priamo od applu treba hladat rozne polo funkcne obchadzky. toto ma nebavi. kopu casu som stravil recenziami ale clovek na vela veci pride az ked to vyskusa. takze hodinky budem vracat. u mna velka nespokojnost. vraciam sa naspat ku garminu. kto potrebuje dialkovy ovladac ku iphonu, ten bude asi spokojny",40
